epoch,accuracy,loss,val_accuracy,val_loss
0,0.4762499928474426,0.7456439137458801,0.48500001430511475,0.6942610144615173
1,0.49312499165534973,0.7208797335624695,0.5575000047683716,0.6836790442466736
2,0.534375011920929,0.6992508172988892,0.5525000095367432,0.6820604205131531
3,0.5181249976158142,0.6962518095970154,0.5425000190734863,0.6792809367179871
4,0.5299999713897705,0.6970236301422119,0.5249999761581421,0.6773521900177002
5,0.5256249904632568,0.6962233781814575,0.5350000262260437,0.6759506464004517
6,0.5081250071525574,0.6975456476211548,0.5224999785423279,0.6760948896408081
7,0.5306249856948853,0.6907895803451538,0.5199999809265137,0.6745791435241699
8,0.5193750262260437,0.693773090839386,0.5199999809265137,0.6743940114974976
9,0.5337499976158142,0.6891473531723022,0.5049999952316284,0.6742782592773438
10,0.515625,0.6969605088233948,0.5174999833106995,0.6744991540908813
11,0.5181249976158142,0.6963745355606079,0.512499988079071,0.6742430925369263
12,0.5049999952316284,0.696648359298706,0.5199999809265137,0.6748203039169312
13,0.5237500071525574,0.6875739097595215,0.512499988079071,0.6748090386390686
14,0.5368750095367432,0.6855446100234985,0.5199999809265137,0.6740210056304932
15,0.5287500023841858,0.6864059567451477,0.5249999761581421,0.673503041267395
16,0.5218750238418579,0.6903884410858154,0.5249999761581421,0.6743374466896057
17,0.5375000238418579,0.6815425157546997,0.5350000262260437,0.6733247637748718
18,0.5243750214576721,0.6850741505622864,0.5174999833106995,0.6739141941070557
19,0.5224999785423279,0.685947060585022,0.5274999737739563,0.6737815141677856
20,0.5262500047683716,0.6847322583198547,0.5199999809265137,0.6742846965789795
21,0.5174999833106995,0.6861503720283508,0.5274999737739563,0.6743265390396118
22,0.5199999809265137,0.6885899901390076,0.5274999737739563,0.6735702753067017
23,0.528124988079071,0.6859722137451172,0.5325000286102295,0.6737844944000244
24,0.5174999833106995,0.6864871978759766,0.5425000190734863,0.6742352247238159
25,0.5106250047683716,0.6846964955329895,0.5249999761581421,0.6743038892745972
26,0.534375011920929,0.6825428605079651,0.5174999833106995,0.6741757988929749
27,0.5043749809265137,0.689156711101532,0.5224999785423279,0.6737179756164551
28,0.5206249952316284,0.6839743852615356,0.5224999785423279,0.6734814643859863
29,0.5400000214576721,0.6803398132324219,0.5299999713897705,0.6739590167999268
30,0.5368750095367432,0.6819553375244141,0.5299999713897705,0.6743823289871216
31,0.5237500071525574,0.6846362352371216,0.5274999737739563,0.6737504005432129
32,0.5350000262260437,0.6829090118408203,0.5199999809265137,0.674150824546814
33,0.5262500047683716,0.6820359826087952,0.5199999809265137,0.6743404865264893
34,0.5249999761581421,0.6833178997039795,0.5274999737739563,0.6745325326919556
35,0.5356249809265137,0.6839298009872437,0.5149999856948853,0.6745402812957764
36,0.5400000214576721,0.6802656650543213,0.5224999785423279,0.6738016605377197
37,0.518750011920929,0.6825766563415527,0.5325000286102295,0.6739614009857178
38,0.528124988079071,0.6805714964866638,0.5325000286102295,0.673888087272644
39,0.5299999713897705,0.6791117191314697,0.5299999713897705,0.6738079786300659
40,0.5362499952316284,0.680804431438446,0.5400000214576721,0.6731242537498474
41,0.5406249761581421,0.681546688079834,0.5249999761581421,0.6734849810600281
42,0.5293750166893005,0.6806336045265198,0.5274999737739563,0.673104465007782
43,0.5243750214576721,0.6819842457771301,0.5274999737739563,0.6729605197906494
44,0.5325000286102295,0.6830493807792664,0.5274999737739563,0.6734239459037781
45,0.53125,0.6785156726837158,0.5299999713897705,0.6731995940208435
46,0.5199999809265137,0.6824976205825806,0.5224999785423279,0.6731600165367126
47,0.5081250071525574,0.686015248298645,0.5274999737739563,0.6728115081787109
48,0.528124988079071,0.6795283555984497,0.5325000286102295,0.6731016635894775
49,0.5337499976158142,0.6797005534172058,0.5325000286102295,0.6729221940040588
50,0.5143749713897705,0.6821003556251526,0.5224999785423279,0.6730712056159973
51,0.5237500071525574,0.6823673844337463,0.5224999785423279,0.6738137602806091
52,0.5368750095367432,0.6789022088050842,0.5224999785423279,0.6735924482345581
53,0.5193750262260437,0.684964120388031,0.5274999737739563,0.6738621592521667
54,0.5356249809265137,0.6761536598205566,0.5249999761581421,0.6740485429763794
55,0.534375011920929,0.6789336204528809,0.5249999761581421,0.673683762550354
56,0.5199999809265137,0.6824280023574829,0.5199999809265137,0.674068808555603
57,0.5237500071525574,0.6820472478866577,0.5174999833106995,0.6729239821434021
58,0.5368750095367432,0.6801815629005432,0.5174999833106995,0.6717602610588074
59,0.5256249904632568,0.677815318107605,0.5224999785423279,0.6712154150009155
60,0.512499988079071,0.6823914051055908,0.5249999761581421,0.6713003516197205
61,0.5256249904632568,0.6770634651184082,0.5149999856948853,0.6707409620285034
62,0.5274999737739563,0.6797446608543396,0.5199999809265137,0.6708818078041077
63,0.5231249928474426,0.6782330274581909,0.5199999809265137,0.6710859537124634
64,0.5406249761581421,0.6800589561462402,0.5299999713897705,0.6710183620452881
65,0.5224999785423279,0.6798669695854187,0.5199999809265137,0.6707292199134827
66,0.528124988079071,0.6786117553710938,0.5074999928474426,0.6712589859962463
67,0.5212500095367432,0.6771040558815002,0.5049999952316284,0.6715389490127563
68,0.53125,0.675921618938446,0.5099999904632568,0.6710531711578369
69,0.5262500047683716,0.6798145174980164,0.5249999761581421,0.6706749796867371
70,0.5174999833106995,0.6813300848007202,0.5174999833106995,0.6707359552383423
71,0.5224999785423279,0.6810738444328308,0.512499988079071,0.6700659990310669
72,0.5262500047683716,0.6775898933410645,0.5024999976158142,0.6691395044326782
73,0.5387499928474426,0.6759466528892517,0.5074999928474426,0.6678267121315002
74,0.5212500095367432,0.6779194474220276,0.5074999928474426,0.6668369770050049
75,0.550000011920929,0.6706286668777466,0.5,0.6655216813087463
76,0.5299999713897705,0.6724411845207214,0.5074999928474426,0.6635453104972839
